image_path,filename,split,label,label_name,mean_intensity,std_intensity,min_intensity,max_intensity,median_intensity,q25_intensity,q75_intensity,iqr_intensity,hist_bin_0,hist_bin_1,hist_bin_2,hist_bin_3,hist_bin_4,hist_bin_5,hist_bin_6,hist_bin_7
C:\Users\espacegamers\Desktop\Master IAII\Cours\drive-download-20251005T182208Z-1-001\S2\Traitement d_images et vision par ordinateur_\Projet\industrial-defect-detection\data\raw\casting_data\train\ok_front\cast_ok_0_102.jpeg,cast_ok_0_102.jpeg,train,0,OK,138.57723999023438,52.01964569091797,0.0,255.0,157.0,144.0,167.0,23.0,0.12747777998447418,0.01818888820707798,0.016322221606969833,0.0350777767598629,0.37345555424690247,0.40843334794044495,0.020677777007222176,0.000366666674381122
C:\Users\espacegamers\Desktop\Master IAII\Cours\drive-download-20251005T182208Z-1-001\S2\Traitement d_images et vision par ordinateur_\Projet\industrial-defect-detection\data\raw\casting_data\train\ok_front\cast_ok_0_1020.jpeg,cast_ok_0_1020.jpeg,train,0,OK,153.6241912841797,65.61590576171875,0.0,255.0,166.0,135.0,209.0,74.0,0.11723333597183228,0.03565555438399315,0.03176666796207428,0.04732222110033035,0.21685555577278137,0.2662777900695801,0.14492222666740417,0.1399666666984558
C:\Users\espacegamers\Desktop\Master IAII\Cours\drive-download-20251005T182208Z-1-001\S2\Traitement d_images et vision par ordinateur_\Projet\industrial-defect-detection\data\raw\casting_data\train\ok_front\cast_ok_0_1021.jpeg,cast_ok_0_1021.jpeg,train,0,OK,150.7838592529297,61.30904006958008,1.0,255.0,169.0,124.0,201.0,77.0,0.10057777911424637,0.04394444450736046,0.03253333270549774,0.08433333039283752,0.1559000015258789,0.2534555494785309,0.3197222352027893,0.009533333592116833
C:\Users\espacegamers\Desktop\Master IAII\Cours\drive-download-20251005T182208Z-1-001\S2\Traitement d_images et vision par ordinateur_\Projet\industrial-defect-detection\data\raw\casting_data\train\ok_front\cast_ok_0_1022.jpeg,cast_ok_0_1022.jpeg,train,0,OK,152.16876220703125,60.192630767822266,1.0,255.0,165.0,129.0,196.0,67.0,0.09501110762357712,0.04055555537343025,0.03009999915957451,0.07742222398519516,0.2005111128091812,0.23871110379695892,0.3127777874469757,0.004911111202090979
C:\Users\espacegamers\Desktop\Master IAII\Cours\drive-download-20251005T182208Z-1-001\S2\Traitement d_images et vision par ordinateur_\Projet\industrial-defect-detection\data\raw\casting_data\train\ok_front\cast_ok_0_1026.jpeg,cast_ok_0_1026.jpeg,train,0,OK,143.36920166015625,61.655799865722656,0.0,255.0,159.0,123.0,192.0,69.0,0.1173444464802742,0.041911110281944275,0.03517777845263481,0.07726666331291199,0.2367333322763443,0.23226666450500488,0.2407444417476654,0.01855555549263954
C:\Users\espacegamers\Desktop\Master IAII\Cours\drive-download-20251005T182208Z-1-001\S2\Traitement d_images et vision par ordinateur_\Projet\industrial-defect-detection\data\raw\casting_data\train\ok_front\cast_ok_0_1028.jpeg,cast_ok_0_1028.jpeg,train,0,OK,141.00865173339844,62.79996109008789,0.0,252.0,156.0,111.0,188.0,77.0,0.1253444403409958,0.0342777781188488,0.04436666518449783,0.11194444447755814,0.21014444530010223,0.2622777819633484,0.17532221972942352,0.036322221159935
C:\Users\espacegamers\Desktop\Master IAII\Cours\drive-download-20251005T182208Z-1-001\S2\Traitement d_images et vision par ordinateur_\Projet\industrial-defect-detection\data\raw\casting_data\train\ok_front\cast_ok_0_1031.jpeg,cast_ok_0_1031.jpeg,train,0,OK,151.10000610351562,63.76978302001953,0.0,254.0,170.0,123.0,198.0,75.0,0.10861111432313919,0.0419333316385746,0.032766666263341904,0.08026666939258575,0.16928888857364655,0.2654666602611542,0.2381555587053299,0.06351111084222794
C:\Users\espacegamers\Desktop\Master IAII\Cours\drive-download-20251005T182208Z-1-001\S2\Traitement d_images et vision par ordinateur_\Projet\industrial-defect-detection\data\raw\casting_data\train\ok_front\cast_ok_0_104.jpeg,cast_ok_0_104.jpeg,train,0,OK,141.39149475097656,63.35810470581055,0.0,255.0,154.0,111.0,189.0,78.0,0.12566666305065155,0.03391111269593239,0.04448888823390007,0.11016666889190674,0.2203666716814041,0.25805556774139404,0.1656111180782318,0.041733331978321075
C:\Users\espacegamers\Desktop\Master IAII\Cours\drive-download-20251005T182208Z-1-001\S2\Traitement d_images et vision par ordinateur_\Projet\industrial-defect-detection\data\raw\casting_data\train\ok_front\cast_ok_0_1040.jpeg,cast_ok_0_1040.jpeg,train,0,OK,141.8988037109375,63.71300506591797,0.0,255.0,158.0,111.0,190.0,79.0,0.12592221796512604,0.033533334732055664,0.04372222349047661,0.1081666648387909,0.1969444453716278,0.25618889927864075,0.18817777931690216,0.04734444618225098
C:\Users\espacegamers\Desktop\Master IAII\Cours\drive-download-20251005T182208Z-1-001\S2\Traitement d_images et vision par ordinateur_\Projet\industrial-defect-detection\data\raw\casting_data\train\ok_front\cast_ok_0_1041.jpeg,cast_ok_0_1041.jpeg,train,0,OK,153.32908630371094,64.7067642211914,0.0,252.0,172.0,124.0,203.0,79.0,0.10825555771589279,0.04152222350239754,0.03224444389343262,0.07800000160932541,0.14589999616146088,0.23553332686424255,0.2840111255645752,0.07453333586454391
C:\Users\espacegamers\Desktop\Master IAII\Cours\drive-download-20251005T182208Z-1-001\S2\Traitement d_images et vision par ordinateur_\Projet\industrial-defect-detection\data\raw\casting_data\train\ok_front\cast_ok_0_1050.jpeg,cast_ok_0_1050.jpeg,train,0,OK,141.64492797851562,63.353187561035156,0.0,255.0,159.0,111.0,190.0,79.0,0.12506666779518127,0.03435555472970009,0.04430000111460686,0.11041110754013062,0.1881999969482422,0.2634222209453583,0.19396667182445526,0.04027777910232544
C:\Users\espacegamers\Desktop\Master IAII\Cours\drive-download-20251005T182208Z-1-001\S2\Traitement d_images et vision par ordinateur_\Projet\industrial-defect-detection\data\raw\casting_data\train\ok_front\cast_ok_0_1057.jpeg,cast_ok_0_1057.jpeg,train,0,OK,152.18919372558594,64.8014144897461,0.0,254.0,164.0,134.0,207.0,73.0,0.11643332988023758,0.0365888886153698,0.03255555406212807,0.04868888854980469,0.22313334047794342,0.2606777846813202,0.16359999775886536,0.1183222234249115
C:\Users\espacegamers\Desktop\Master IAII\Cours\drive-download-20251005T182208Z-1-001\S2\Traitement d_images et vision par ordinateur_\Projet\industrial-defect-detection\data\raw\casting_data\train\ok_front\cast_ok_0_1062.jpeg,cast_ok_0_1062.jpeg,train,0,OK,156.1099395751953,58.86722183227539,0.0,255.0,169.0,136.0,201.0,65.0,0.08116666972637177,0.0420222207903862,0.03118888847529888,0.06918888539075851,0.16135555505752563,0.2986777722835541,0.29198887944221497,0.02441111020743847
C:\Users\espacegamers\Desktop\Master IAII\Cours\drive-download-20251005T182208Z-1-001\S2\Traitement d_images et vision par ordinateur_\Projet\industrial-defect-detection\data\raw\casting_data\train\ok_front\cast_ok_0_1066.jpeg,cast_ok_0_1066.jpeg,train,0,OK,148.5269012451172,60.755584716796875,0.0,253.0,170.0,140.0,188.0,48.0,0.1293666660785675,0.02208888903260231,0.020366666838526726,0.04143333435058594,0.19251111149787903,0.3766666650772095,0.21648888289928436,0.0010777778225019574
C:\Users\espacegamers\Desktop\Master IAII\Cours\drive-download-20251005T182208Z-1-001\S2\Traitement d_images et vision par ordinateur_\Projet\industrial-defect-detection\data\raw\casting_data\train\ok_front\cast_ok_0_1069.jpeg,cast_ok_0_1069.jpeg,train,0,OK,154.68533325195312,58.36712646484375,1.0,253.0,170.0,135.0,195.0,60.0,0.08361110836267471,0.04066666588187218,0.031611111015081406,0.07116666436195374,0.1890111118555069,0.3054555654525757,0.257488876581192,0.020988889038562775
C:\Users\espacegamers\Desktop\Master IAII\Cours\drive-download-20251005T182208Z-1-001\S2\Traitement d_images et vision par ordinateur_\Projet\industrial-defect-detection\data\raw\casting_data\train\ok_front\cast_ok_0_1077.jpeg,cast_ok_0_1077.jpeg,train,0,OK,150.6089324951172,61.38225555419922,2.0,255.0,171.0,123.0,199.0,76.0,0.10115555673837662,0.04377777874469757,0.03256666660308838,0.08594444394111633,0.1653444468975067,0.24452222883701324,0.3184555470943451,0.008233333006501198
C:\Users\espacegamers\Desktop\Master IAII\Cours\drive-download-20251005T182208Z-1-001\S2\Traitement d_images et vision par ordinateur_\Projet\industrial-defect-detection\data\raw\casting_data\train\ok_front\cast_ok_0_108.jpeg,cast_ok_0_108.jpeg,train,0,OK,141.37982177734375,60.62296676635742,0.0,255.0,159.0,121.0,190.0,69.0,0.11722221970558167,0.04280000180006027,0.035955555737018585,0.08961111307144165,0.22182221710681915,0.2588333189487457,0.22237777709960938,0.01137777790427208
C:\Users\espacegamers\Desktop\Master IAII\Cours\drive-download-20251005T182208Z-1-001\S2\Traitement d_images et vision par ordinateur_\Projet\industrial-defect-detection\data\raw\casting_data\train\ok_front\cast_ok_0_1088.jpeg,cast_ok_0_1088.jpeg,train,0,OK,153.02818298339844,64.56927490234375,0.0,255.0,173.0,124.0,203.0,79.0,0.10744444280862808,0.042488887906074524,0.03224444389343262,0.07752222567796707,0.17653332650661469,0.2393999993801117,0.2518555521965027,0.07251111418008804
C:\Users\espacegamers\Desktop\Master IAII\Cours\drive-download-20251005T182208Z-1-001\S2\Traitement d_images et vision par ordinateur_\Projet\industrial-defect-detection\data\raw\casting_data\train\ok_front\cast_ok_0_1092.jpeg,cast_ok_0_1092.jpeg,train,0,OK,140.8328399658203,60.60926818847656,0.0,255.0,158.0,121.0,189.0,68.0,0.1187666654586792,0.04198889061808586,0.03593333438038826,0.09313333034515381,0.2296888828277588,0.2510888874530792,0.21808889508247375,0.01131111104041338
C:\Users\espacegamers\Desktop\Master IAII\Cours\drive-download-20251005T182208Z-1-001\S2\Traitement d_images et vision par ordinateur_\Projet\industrial-defect-detection\data\raw\casting_data\train\ok_front\cast_ok_0_1093.jpeg,cast_ok_0_1093.jpeg,train,0,OK,152.23228454589844,66.2229995727539,0.0,255.0,167.0,128.0,208.0,80.0,0.11842222511768341,0.03726666793227196,0.03449999913573265,0.05421110987663269,0.2120777815580368,0.26910001039505005,0.1276666671037674,0.14675556123256683
C:\Users\espacegamers\Desktop\Master IAII\Cours\drive-download-20251005T182208Z-1-001\S2\Traitement d_images et vision par ordinateur_\Projet\industrial-defect-detection\data\raw\casting_data\train\ok_front\cast_ok_0_1095.jpeg,cast_ok_0_1095.jpeg,train,0,OK,151.3807830810547,61.784645080566406,0.0,255.0,170.0,123.0,201.0,78.0,0.10298889130353928,0.041999999433755875,0.03305555507540703,0.08682221919298172,0.13421110808849335,0.2659222185611725,0.3263777792453766,0.00862222258001566
C:\Users\espacegamers\Desktop\Master IAII\Cours\drive-download-20251005T182208Z-1-001\S2\Traitement d_images et vision par ordinateur_\Projet\industrial-defect-detection\data\raw\casting_data\train\ok_front\cast_ok_0_1096.jpeg,cast_ok_0_1096.jpeg,train,0,OK,144.1959686279297,61.76155090332031,0.0,254.0,160.0,123.0,193.0,70.0,0.11691111326217651,0.04223333299160004,0.03547777608036995,0.07931111007928848,0.22367778420448303,0.23964443802833557,0.2466111183166504,0.01613333262503147
C:\Users\espacegamers\Desktop\Master IAII\Cours\drive-download-20251005T182208Z-1-001\S2\Traitement d_images et vision par ordinateur_\Projet\industrial-defect-detection\data\raw\casting_data\train\ok_front\cast_ok_0_1099.jpeg,cast_ok_0_1099.jpeg,train,0,OK,143.46786499023438,61.40005111694336,0.0,255.0,160.0,123.0,192.0,69.0,0.11575555801391602,0.04314444586634636,0.03541111201047897,0.07903333008289337,0.2166111171245575,0.2552555501461029,0.2378000020980835,0.016988888382911682
